timestamp_et,timestamp_ist,iv,iv_pct
2025-03-12 00:00:00,2025-03-12 09:30:00,0.21,21.33%
2025-03-13 00:00:00,2025-03-13 09:30:00,0.22,22.18%
2025-03-14 00:00:00,2025-03-14 09:30:00,0.19,18.95%
2025-03-17 00:00:00,2025-03-17 09:30:00,0.18,17.79%
2025-03-18 00:00:00,2025-03-18 09:30:00,0.19,18.94%
2025-03-19 00:00:00,2025-03-19 09:30:00,0.17,16.82%
2025-03-20 00:00:00,2025-03-20 09:30:00,0.17,16.98%
2025-03-21 00:00:00,2025-03-21 09:30:00,0.17,16.64%
2025-03-24 00:00:00,2025-03-24 09:30:00,0.15,14.80%
2025-03-25 00:00:00,2025-03-25 09:30:00,0.15,14.68%
2025-03-26 00:00:00,2025-03-26 09:30:00,0.16,15.87%
2025-03-27 00:00:00,2025-03-27 09:30:00,0.16,15.71%
2025-03-28 00:00:00,2025-03-28 09:30:00,0.19,18.60%
2025-03-31 00:00:00,2025-03-31 09:30:00,0.18,17.88%
2025-04-01 00:00:00,2025-04-01 09:30:00,0.18,18.26%
2025-04-02 00:00:00,2025-04-02 09:30:00,0.18,17.77%
2025-04-03 00:00:00,2025-04-03 09:30:00,0.24,24.20%
2025-04-04 00:00:00,2025-04-04 09:30:00,0.34,33.90%
2025-04-07 00:00:00,2025-04-07 09:30:00,0.39,39.29%
2025-04-08 00:00:00,2025-04-08 09:30:00,0.45,44.92%
2025-04-09 00:00:00,2025-04-09 09:30:00,0.26,25.58%
2025-04-10 00:00:00,2025-04-10 09:30:00,0.38,37.79%
2025-04-11 00:00:00,2025-04-11 09:30:00,0.30,30.31%
2025-04-14 00:00:00,2025-04-14 09:30:00,0.25,24.71%
2025-04-15 00:00:00,2025-04-15 09:30:00,0.25,24.54%
2025-04-16 00:00:00,2025-04-16 09:30:00,0.29,28.56%
2025-04-17 00:00:00,2025-04-17 09:30:00,0.26,25.57%
2025-04-21 00:00:00,2025-04-21 09:30:00,0.30,29.56%
2025-04-22 00:00:00,2025-04-22 09:30:00,0.27,26.91%
2025-04-23 00:00:00,2025-04-23 09:30:00,0.25,25.41%
2025-04-24 00:00:00,2025-04-24 09:30:00,0.23,22.81%
2025-04-25 00:00:00,2025-04-25 09:30:00,0.21,21.42%
2025-04-28 00:00:00,2025-04-28 09:30:00,0.21,21.40%
2025-04-29 00:00:00,2025-04-29 09:30:00,0.20,20.46%
2025-04-30 00:00:00,2025-04-30 09:30:00,0.22,21.72%
2025-05-01 00:00:00,2025-05-01 09:30:00,0.20,19.76%
2025-05-02 00:00:00,2025-05-02 09:30:00,0.18,18.37%
2025-05-05 00:00:00,2025-05-05 09:30:00,0.19,18.96%
2025-05-06 00:00:00,2025-05-06 09:30:00,0.20,19.91%
2025-05-07 00:00:00,2025-05-07 09:30:00,0.20,19.63%
2025-05-08 00:00:00,2025-05-08 09:30:00,0.19,18.74%
2025-05-09 00:00:00,2025-05-09 09:30:00,0.19,18.60%
2025-05-12 00:00:00,2025-05-12 09:30:00,0.15,15.20%
2025-05-13 00:00:00,2025-05-13 09:30:00,0.15,14.65%
2025-05-14 00:00:00,2025-05-14 09:30:00,0.15,15.19%
2025-05-15 00:00:00,2025-05-15 09:30:00,0.15,14.76%
2025-05-16 00:00:00,2025-05-16 09:30:00,0.14,14.38%
2025-05-19 00:00:00,2025-05-19 09:30:00,0.15,15.37%
2025-05-20 00:00:00,2025-05-20 09:30:00,0.15,15.13%
2025-05-21 00:00:00,2025-05-21 09:30:00,0.17,16.85%
2025-05-22 00:00:00,2025-05-22 09:30:00,0.17,16.53%
2025-05-23 00:00:00,2025-05-23 09:30:00,0.18,17.72%
2025-05-27 00:00:00,2025-05-27 09:30:00,0.15,15.27%
2025-05-28 00:00:00,2025-05-28 09:30:00,0.16,15.59%
2025-05-29 00:00:00,2025-05-29 09:30:00,0.15,15.36%
2025-05-30 00:00:00,2025-05-30 09:30:00,0.15,15.37%
2025-06-02 00:00:00,2025-06-02 09:30:00,0.15,15.04%
2025-06-03 00:00:00,2025-06-03 09:30:00,0.14,14.42%
2025-06-04 00:00:00,2025-06-04 09:30:00,0.14,14.32%
2025-06-05 00:00:00,2025-06-05 09:30:00,0.15,14.56%
2025-06-06 00:00:00,2025-06-06 09:30:00,0.13,13.34%
2025-06-09 00:00:00,2025-06-09 09:30:00,0.14,13.55%
2025-06-10 00:00:00,2025-06-10 09:30:00,0.13,13.50%
2025-06-11 00:00:00,2025-06-11 09:30:00,0.14,14.07%
2025-06-12 00:00:00,2025-06-12 09:30:00,0.14,13.98%
2025-06-13 00:00:00,2025-06-13 09:30:00,0.16,16.11%
2025-06-16 00:00:00,2025-06-16 09:30:00,0.14,14.49%
2025-06-17 00:00:00,2025-06-17 09:30:00,0.17,16.53%
2025-06-18 00:00:00,2025-06-18 09:30:00,0.16,15.70%
2025-06-20 00:00:00,2025-06-20 09:30:00,0.16,16.29%
2025-06-23 00:00:00,2025-06-23 09:30:00,0.15,15.07%
2025-06-24 00:00:00,2025-06-24 09:30:00,0.13,13.43%
